#T (K)	molar C_p (cal/K)
12.833	0.000115
16.015	0.000192
21.304	0.000424
24.100	0.000600
31.332	0.00135
33.407	0.00161
41.319	0.00313
50.450	0.00579
60.540	0.01035
70.070	0.01681
80.868	0.02762
90.190	0.04058
103.085	0.06462
116.719	0.1009
120.283	0.1124
137.805	0.1794
151.444	0.2448
162.867	0.3083
173.316	0.3728
180.042	0.4175
192.641	0.5072
203.157	0.5881
210.341	0.6465
218.511	0.7146
222.107	0.7449
232.816	0.8404
243.176	0.9341
252.541	1.0220
263.168	1.1232
270.507	1.1967
274.134	1.2332
277.675	1.2686


298.15	1.462
300	1.480
400	2.446
500	3.242
600	3.852
700	4.312
800	4.660
900	4.932
1000	5.162
1100	5.380


